index,description
01.,Pelagial der Nordsee
01.01.,Photisches Pelagial der Nordsee
01.02.,Aphotisches Pelagial der Nordsee
02.,Benthal der Nordsee
02.01.,Eulitorales Benthal der Nordsee (Wattflächen)
02.01.01.,Eulitoraler Felsen- und Steingrund der Nordsee (Felswatt) - ausschließlich bei Helgoland
02.01.01.01.,Eulitoraler Felsen- und Steingrund der Nordsee mit Epibenthos
02.01.01.01.01.,"Eulitoraler Felsen- und Steingrund der Nordsee mit mehrjährigen (festsitzenden) Makroalgen, v.a Fucus"
02.01.01.01.02.,Eulitoraler Felsen- und Steingrund der Nordsee mit epibenthischen Muscheln (Bivalvia)
02.01.01.01.02.01.,Eulitoraler Felsen- und Steingrund der Nordsee mit Pazifischen Austern (Crassostrea gigas)
02.01.01.01.02.02.,Eulitoraler Felsen- und Steingrund der Nordsee mit Miesmuscheln (Mytilus edulis)
02.01.01.01.03.,"Eulitoraler Felsen- und Steingrund der Nordsee mit einjährigen (festsitzenden) Makroalgen, v.a Meersalat (Ulva)"
02.01.01.02.,"Eulitoraler Felsen- und Steingrund der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne epibenthische Makroflora oder -fauna"
02.01.02.,Eulitoraler Schillgrund der Nordsee - ausschließlich Wattenmeer und Ästuare
02.01.02.01.,Eulitoraler Schillgrund der Nordsee mit Epibenthos
02.01.02.01.01.,"Eulitoraler Schillgrund der Nordsee mit epibenthischen Krebsen (Crustacea), v.a Seepocken (Balanidae)"
02.01.02.01.02.,Eulitoraler Schillgrund der Nordsee mit (lagestabilen) epibenthischen Muscheln (Bivalvia)
02.01.02.01.02.01.,Eulitoraler Schillgrund der Nordsee mit (lagestabilen) Pazifischen Austern (Crassostrea gigas)
02.01.02.01.02.02.,Eulitoraler Schillgrund der Nordsee mit (lagestabilen) Miesmuscheln (Mytilus)
02.01.02.01.03.,"Eulitoraler Schillgrund der Nordsee mit einjährigen (festsitzenden) Makroalgen, v.a Meersalat (Ulva)"
02.01.02.02.,Eulitoraler Schillgrund der Nordsee mit Infauna
02.01.02.03.,"Eulitoraler Schillgrund der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora oder -fauna"
02.01.03.,Eulitoraler Torfgrund der Nordsee - ausschließlich Wattenmeer und Ästuare
02.01.04.,Eulitoraler Sandgrund der Nordsee (Sandwatt) - ausschließlich Wattenmeer und Ästuare
02.01.04.01.,Eulitoraler Sandgrund der Nordsee mit Epibenthos
02.01.04.01.01.,Eulitoraler Sandgrund der Nordsee mit wurzelnden Pflanzen - nur gering exponierte Bereiche des Wattemeeres und der Ästuare
02.01.04.01.01.01.,Eulitoraler Sandgrund der Nordsee mit Queller (Salicornia stricta)
02.01.04.01.01.02.,Eulitoraler Sandgrund der Nordsee mit Schlickgras (Spartina anglica)
02.01.04.01.01.03.,Eulitoraler Sandgrund der Nordsee mit Seegras (Zostera-Seegraswiesen)
02.01.04.01.02.,Eulitoraler Sandgrund der Nordsee mit (lagestabilen) epibenthischen Muscheln (Bivalvia)
02.01.04.01.02.01.,Eulitoraler Sandgrund der Nordsee mit (lagestabilen) Pazifischen Austern (Crassostrea gigas)
02.01.04.01.02.02.,Eulitoraler Sandgrund der Nordsee mit (lagestabilen) Miesmuscheln (Mytilus edulis)
02.01.04.01.03.,Eulitoraler Sandgrund der Nordsee mit einjährigen (nicht festsitzenden) Makroalgen
02.01.04.03.,"Eulitoraler Sandgrund der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora und -fauna"
02.01.05.,Eulitoraler Schlickgrund der Nordsee (Schlick- und Mischwatt) - ausschließlich Wattenmeer und Ästuare
02.01.05.01.,Eulitoraler Schlickgrund der Nordsee mit Epibenthos
02.01.05.01.01.,Eulitoraler Schlickgrund der Nordsee mit wurzelnden Pflanzen - nur gering exponierte Bereiche des Wattemeeres und der Ästuare
02.01.05.01.01.01.,Eulitoraler Schlickgrund der Nordsee mit Queller (Salicornia stricta)
02.01.05.01.01.02.,Eulitoraler Schlickgrund der Nordsee mit Schlickgras (Spartina anglica)
02.01.05.01.01.03.,Eulitoraler Schlickgrund der Nordsee mit Seegras (Zostera-Seegraswiesen)
02.01.05.01.02.,Eulitoraler Schlickgrund der Nordsee mit (lagestabilen) epibenthischen Muscheln (Bivalvia)
02.01.05.01.02.01.,Eulitoraler Schlickgrund der Nordsee mit (lagestabilen) Pazifischen Austern (Crassostrea gigas)
02.01.05.01.02.02.,Eulitoraler Schlickgrund der Nordsee mit (lagestabilen) Miesmuscheln (Mytilus edulis)
02.01.05.01.03.,Eulitoraler Schlickgrund der Nordsee mit einjährigen (nicht festsitzenden) Makroalgen
02.01.05.02.,Eulitoraler Schlickgrund der Nordsee mit Infauna
02.01.05.02.01.,Eulitoraler Schlickgrund der Nordsee mit endobenthischen Krebsen (Crustacea) v.a Schlickkrebse (Corophiidae)
02.01.05.02.02.,Eulitoraler Schlickgrund der Nordsee mit endobenthischen Muscheln (Bivalvia)
02.01.05.02.03.,Eulitoraler Schlickgrund der Nordsee mit endobenthischen Vielborstern (Polychaeta)
02.01.05.02.04.,Eulitoraler Schlickgrund der Nordsee ohne Dominanz von spezifischen funktionalen/taxonomischen Gruppen der Infauna
02.01.05.03.,"Eulitoraler Schlickgrund der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora oder -fauna"
02.02.,Sublitorales Benthal der Nordsee
02.02.01.,Sublitoraler Felsen- und Steingrund der Nordsee - vorwiegend Helgoland
02.02.01.01.,Sublitoraler Felsen- und Steingrund der Nordsee mit Epibenthos
02.02.01.01.01.,Sublitoraler Felsen- und Steingrund der Nordsee mit mehrjährigen (festsitzenden) Makroalgen
02.02.01.01.01.01.,Sublitoraler Felsen- und Steingrund der Nordsee mit Fucus
02.02.01.01.01.02.,Sublitoraler Felsen- und Steingrund der Nordsee mit Laminaria/Saccharina
02.02.01.01.01.03.,"Sublitoraler Felsen- und Steingrund der Nordsee mit mehrjährigen, blattförmigen Rotalgen (Delesseria sanguinea, Halarachnion ligulatum, Phycodrys rubens, Phyllophora spp.)"
02.02.01.01.02.,Sublitoraler Felsen- und Steingrund der Nordsee mit epibenthischen Muscheln
02.02.01.01.02.01.,Sublitoraler Felsen- und Steingrund der Nordsee mit Europäischen Austern (Ostrea edulis)
02.02.01.01.02.02.,Sublitoraler Felsen- und Steingrund der Nordsee mit Pazifischen Austern (Crassostrea gigas)
02.02.01.01.03.,"Sublitoraler Felsen- und Steingrund der Nordsee mit Moostierchen (Bryozoa), v.a Blätter-Moostierchen (Flustridae)"
02.02.01.01.04.,Sublitoraler Felsen- und Steingrund der Nordsee mit Nesseltieren (Cnidaria)
02.02.01.01.04.01.,Sublitoraler Felsen- und Steingrund der Nordsee mit Blumentieren (Anthozoa)
02.02.01.01.04.02.,"Sublitoraler Felsen- und Steingrund der Nordsee mit Hydroidpolypen (Hydrozoa), z.B Seemoos"
02.02.01.01.05.,Sublitoraler Felsen- und Steingrund der Nordsee mit Schwämmen (Porifera)
02.02.01.01.06.,Sublitoraler Felsen- und Steingrund der Nordsee mit Seescheiden (Ascidiacea)
02.02.01.01.07.,Sublitoraler Felsen- und Steingrund der Nordsee mit einjährigen (festsitzenden) Makroalgen
02.02.01.02.,"Sublitoraler Felsen- und Steingrund der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne epibenthische Makroflora oder -fauna"
02.02.02.,"Sublitoraler, aufragender Geschiebemergel-/Kleigrund der Nordsee - vorwiegend an exponierten Küstenabschnitten"
02.02.03.,"Sublitoraler, ebener Geschiebemergel-/Kleigrund der Nordsee - vorwiegend an exponierten Küstenabschnitten"
02.02.04.,Sublitoraler Schillgrund der Nordsee
02.02.04.01.,Sublitoraler Schillgrund der Nordsee mit Epibenthos
02.02.04.01.01.,Sublitoraler Schillgrund der Nordsee mit (lagestabilen) epibenthischen Muscheln (Bivalvia) (biogenes Riff)
02.02.04.01.01.01.,Sublitoraler Schillgrund der Nordsee mit (lagestabilen) Europäischen Austern (Ostrea edulis) (biogenes Riff)
02.02.04.01.01.02.,Sublitoraler Schillgrund der Nordsee mit (lagestabilen) Pazifischen Austern (Crassostrea gigas) (biogenes Riff)
02.02.04.01.01.03.,Sublitoraler Schillgrund der Nordsee mit (lagestabilen) Miesmuscheln (Mytilus edulis) (biogenes Riff)
02.02.04.01.02.,Sublitoraler Schillgrund der Nordsee mit Nesseltieren (Cnidaria)
02.02.04.01.02.01.,Sublitoraler Schillgrund der Nordsee mit Blumentieren (Anthozoa)
02.02.04.01.02.02.,"Sublitoraler Schillgrund der Nordsee mit Hydroidpolypen (Hydrozoa), z.B Seemoos"
02.02.04.02.,Sublitoraler Schillgrund der Nordsee mit Infauna
02.02.04.03.,"Sublitoraler Schillgrund der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora oder -fauna"
02.02.05.,Sublitoraler Torfgrund der Nordsee - vorwiegend Wattenmeer und Ästuare
02.02.06.,Sublitorales Mischsubstrat der Nordsee
02.02.06.01.,Sublitorales Mischsubstrat der Nordsee mit Epibenthos
02.02.06.01.01.,Sublitorales Mischsubstrat der Nordsee mit mehrjährigen (festsitzenden) Makroalgen - auschließlich Helgoland
02.02.06.01.01.01.,Sublitorales Mischsubstrat der Nordsee mit Fucus
02.02.06.01.01.02.,Sublitorales Mischsubstrat der Nordsee mit Laminaria/Saccharina
02.02.06.01.01.03.,"Sublitorales Mischsubstrat der Nordsee mit mehrjährigen, blattförmigen Rotalgen (Delesseria sanguinea, Halarachnion ligulatum, Phycodrys rubens, Phyllophora spp.)"
02.02.06.01.02.,Sublitorales Mischsubstrat der Nordsee mit epibenthischen Muscheln
02.02.06.01.02.01.,Sublitorales Mischsubstrat der Nordsee mit Europäischen Austern (Ostrea edulis)
02.02.06.01.02.02.,Sublitorales Mischsubstrat der Nordsee mit Pazifischen Austern (Crassostrea gigas)
02.02.06.01.02.03.,Sublitorales Mischsubstrat der Nordsee mit Miesmuscheln (Mytilus edulis)
02.02.06.01.03.,"Sublitorales Mischsubstrat der Nordsee mit epibenthischen Vielborstern, v.a 'Sandkoralle' (Sabellaria) - vorwiegend Wattenmeer"
02.02.06.01.04.,"Sublitorales Mischsubstrat der Nordsee mit Moostierchen (Bryozoa), v.a Blätter-Moostierchen (Flustridae) - nur offene Nordsee"
02.02.06.01.05.,Sublitorales Mischsubstrat der Nordsee mit Nesseltieren (Cnidaria)
02.02.06.01.05.01.,Sublitorales Mischsubstrat der Nordsee mit Blumentieren (Anthozoa) - nur offene Nordsee
02.02.06.01.05.02.,"Sublitorales Mischsubstrat der Nordsee mit Hydroidpolypen (Hydrozoa), z.B 'Seemoos' "
02.02.06.01.06.,Sublitorales Mischsubstrat der Nordsee mit Schwämmen (Porifera) - nur offene Nordsee
02.02.06.01.07.,Sublitorales Mischsubstrat der Nordsee mit Seescheiden (Ascidiacea) - nur offene Nordsee
02.02.06.01.08.,Sublitorales Mischsubstrat der Nordsee mit einjährigen (festsitzenden) Makroalgen
02.02.06.02.,"Sublitorales Mischsubstrat der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne epibenthische Makroflora oder -fauna"
02.02.07.,Sublitorale Grobsedimentbank der Nordsee (Sandbank-Komplex)
02.02.08.,"Sublitorales, ebenes Grobsediment der Nordsee"
02.02.08.01.,"Sublitorales, ebenes Grobsediment der Nordsee mit Epibenthos"
02.02.08.01.01.,"Sublitorales, ebenes Grobsediment der Nordsee mit (lagestabilen) epibenthischen Muscheln (biogenes Riff)"
02.02.08.01.01.01.,"Sublitorales, ebenes Grobsediment der Nordsee mit (lagestabilen) Europäischen Austern (Ostrea edulis) (biogenes Riff)"
02.02.08.01.01.02.,"Sublitorales, ebenes Grobsediment der Nordsee mit (lagestabilen) Pazifischen Austern (Crassostrea gigas) (biogenes Riff)"
02.02.08.01.01.03.,"Sublitorales, ebenes Grobsediment der Nordsee mit (lagestabilen) Miesmuscheln (Mytilus edulis) (biogenes Riff)"
02.02.08.01.02.,"Sublitorales, ebenes Grobsediment der Nordsee mit Nesseltieren (Cnidaria), v.a 'Seemoos' "
02.02.08.02.,"Sublitorales, ebenes Grobsediment der Nordsee mit Infauna"
02.02.08.02.01.,"Sublitorales, ebenes Grobsediment der Nordsee mit Goniadella-Spisula-Gemeinschaft - vorwiegend offene Nordsee"
02.02.08.02.01.01.,"Sublitorales, ebenes Grobsediment der Nordsee mit Goniadella-Spisula-Gemeinschaft, dominiert von Lanzettfischchen (Branchiostoma lanceolatum; 'Amphioxus-Sande')"
02.02.08.02.01.02.,"Sublitorales, ebenes Grobsediment der Nordsee mit Goniadella-Spisula-Gemeinschaft, dominiert von Trogmuscheln (Mactra/Spisula)"
02.02.08.02.01.03.,"Sublitorales, ebenes Grobsediment der Nordsee mit Goniadella-Spisula-Gemeinschaft aber ohne Dominanz von spezifischen endobenthischen Taxa"
02.02.08.02.02.,"Sublitorales, ebenes Grobsediment der Nordsee mit endobenthischen Muscheln (Bivalvia) - vorwiegend Küstenmeer"
02.02.08.02.03.,"Sublitorales, ebenes Grobsediment der Nordsee ohne Charakterarten oder der Dominanz von spezifischen funktionalen/taxonomischen Gruppen der Infauna"
02.02.08.03.,"Sublitorales, ebenes Grobsediment der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora oder -fauna"
02.02.09.,Sublitorale Sandbank (inkl Megarippelfelder) der Nordsee (Sandbank-Komplex)
02.02.10.,"Sublitoraler, ebener Sandgrund der Nordsee"
02.02.10.01.,"Sublitoraler, ebener Sandgrund der Nordsee mit Epibenthos"
02.02.10.01.01.,"Sublitoraler, ebener Sandgrund der Nordsee mit wurzelnden Pflanzen - nur gering exponierte, flache Buchten des Wattenmeeres und der Ästuare"
02.02.10.01.01.01.,"Sublitoraler, ebener Sandgrund der Nordsee mit Laichkräutern (Potamogeton/Stuckenia) - nur Ästuare"
02.02.10.01.01.02.,"Sublitoraler, ebener Sandgrund der Nordsee mit Meersalden (Ruppia)"
02.02.10.01.01.03.,"Sublitoraler, ebener Sandgrund der Nordsee mit Seegräsern (Zostera-Seegraswiesen)"
02.02.10.01.01.04.,"Sublitoraler, ebener Sandgrund der Nordsee mit Teichfaden (Zannichellia palustris) - nur Ästuare"
02.02.10.01.02.,"Sublitoraler, ebener Sandgrund der Nordsee mit (lagestabilen) epibenthischen Muscheln (biogenes Riff)"
02.02.10.01.02.01.,"Sublitoraler, ebener Sandgrund der Nordsee mit (lagestabilen) Europäischen Austern (Ostrea edulis) (biogenes Riff)"
02.02.10.01.02.02.,"Sublitoraler, ebener Sandgrund der Nordsee mit (lagestabilen) Pazifischen Austern (Crassostrea gigas) (biogenes Riff)"
02.02.10.01.02.03.,"Sublitoraler, ebener Sandgrund der Nordsee mit (lagestabilen) Miesmuscheln (Mytilus edulis) (biogenes Riff)"
02.02.10.01.03.,"Sublitoraler, ebener Sandgrund der Nordsee mit epibenthischen Vielborstern, v.a 'Sandkoralle' (Sabellaria) (biogenes Riff) - vorwiegend Wattenmeer"
02.02.10.02.,"Sublitoraler, ebener Sandgrund der Nordsee mit Infauna"
02.02.10.02.01.,"Sublitoraler, ebener Sandgrund der Nordsee mit Amphiura filiformis-Gemeinschaft - nur offene Nordsee"
02.02.10.02.01.01.,"Sublitoraler, ebener Sandgrund der Nordsee mit Amphiura filiformis-Gemeinschaft, dominiert von Callianassa/Nephrops/ Upogebia"
02.02.10.02.01.02.,"Sublitoraler, ebener Sandgrund der Nordsee mit Amphiura filiformis-Gemeinschaft, dominiert von Islandmuscheln (Arctica islandica)"
02.02.10.02.01.03.,"Sublitoraler, ebener Sandgrund der Nordsee mit Amphiura filiformis-Gemeinschaft, dominiert von Turritella communis"
02.02.10.02.01.04.,"Sublitoraler, ebener Sandgrund der Nordsee mit Amphiura filiformis-Gemeinschaft aber ohne Dominanz von spezifischen endobenthischen Taxa"
02.02.10.02.02.,"Sublitoraler, ebener Sandgrund der Nordsee mit Bathyporeia-Tellina-Gemeinschaft - nur offene Nordsee"
02.02.10.02.03.,"Sublitoraler, ebener Sandgrund der Nordsee mit Tellina fabula-Gemeinschaft - offene Nordsee und Küstenmeer"
02.02.10.02.03.01.,"Sublitoraler, ebener Sandgrund der Nordsee mit Tellina fabula-Gemeinschaft, dominiert von Bäumchenröhrenwürmern (Lanice conchilega)"
02.02.10.02.03.02.,"Sublitoraler, ebener Sandgrund der Nordsee mit Tellina fabula-Gemeinschaft, dominiert von Ensis directus"
02.02.10.02.03.03.,"Sublitoraler, ebener Sandgrund der Nordsee mit Tellina fabula-Gemeinschaft, dominiert von Ensis ensis, E magnus oder E siliqua"
02.02.10.02.03.04.,"Sublitoraler, ebener Sandgrund der Nordsee mit Tellina fabula-Gemeinschaft, dominiert von Hufeisenwürmern (Phoronis spp.)"
02.02.10.02.03.05.,"Sublitoraler, ebener Sandgrund der Nordsee mit Tellina fabula-Gemeinschaft, dominiert von Tellina fabula"
02.02.10.02.03.06.,"Sublitoraler, ebener Sandgrund der Nordsee mit Tellina fabula-Gemeinschaft aber ohne Dominanz von spezifischen endobenthischen Taxa"
02.02.10.02.04.,"Sublitoraler, ebener Sandgrund der Nordsee mit Goniadella-Spisula-Gemeinschaft - vorwiegend offene Nordsee"
02.02.10.02.05.,"Sublitoraler, ebener Sandgrund der Nordsee mit Nucula nitidosa-Gemeinschaft - nur offene Nordsee"
02.02.10.02.06.,"Sublitoraler, ebener Sandgrund der Nordsee mit endobenthischen Krebsen (Crustacea) - vorwiegend Wattenmeer und Ästuare"
02.02.10.02.07.,"Sublitoraler, ebener Sandgrund der Nordsee mit endobenthischen Muscheln (Bivalvia) - vorwiegend Küstenmeer, Wattenmeer und Ästuare"
02.02.10.02.07.01.,"Sublitoraler, ebener Sandgrund der Nordsee mit Baltischen Plattmuscheln (Macoma balthica)"
02.02.10.02.07.02.,"Sublitoraler, ebener Sandgrund der Nordsee mit Ensis directus"
02.02.10.02.07.03.,"Sublitoraler, ebener Sandgrund der Nordsee mit Ensis ensis, E magnus oder E siliqua"
02.02.10.02.07.04.,"Sublitoraler, ebener Sandgrund der Nordsee mit Herzmuscheln (Cerastoderma edule)"
02.02.10.02.07.05.,"Sublitoraler, ebener Sandgrund der Nordsee mit Sandklaffmuscheln (Mya arenaria)"
02.02.10.02.07.06.,"Sublitoraler, ebener Sandgrund der Nordsee mit endobenthischen Muscheln aber ohne Dominanz spezifischer Arten"
02.02.10.02.08.,"Sublitoraler, ebener Sandgrund der Nordsee mit endobenthischen Vielborstern (Polychaeta) - vorwiegend Wattenmeer und Ästuare"
02.02.10.02.08.01.,"Sublitoraler, ebener Sandgrund der Nordsee mit Bäumchenröhrenwürmern (Lanice conchilega)"
02.02.10.02.08.02.,"Sublitoraler, ebener Sandgrund der Nordsee mit Marenzelleria - vorwiegend Ästuare"
02.02.10.02.08.03.,"Sublitoraler, ebener Sandgrund der Nordsee mit Wattwürmern (Arenicola marina)"
02.02.10.02.08.04.,"Sublitoraler, ebener Sandgrund der Nordsee mit endobenthischen Vielborstern aber ohne Dominanz spezifischer Arten"
02.02.10.02.09.,"Sublitoraler, ebener Sandgrund der Nordsee ohne Charakterarten oder der Dominanz von spezifischen funktionalen/taxonomischen Gruppen der Infauna"
02.02.10.03.,"Sublitoraler, ebener Sandgrund der Nordsee mit vereinzeltem Epibenthos, Weidegängern oder ohne Makroflora oder -fauna"
02.02.11.,Sublitoraler Schlickgrund der Nordsee
02.02.11.01.,"Sublitoraler Schlickgrund der Nordsee mit Epibenthos, v.a mit wurzelnden Pflanzen - nur gering exponierte, flache Buchten des Wattenmeeres und der Ästuare"
02.02.11.02.,Sublitoraler Schlickgrund der Nordsee mit Infauna
02.02.11.02.01.,Sublitoraler Schlickgrund der Nordsee mit Amphiura filiformis-Gemeinschaft - nur offene Nordsee
02.02.11.02.01.01.,"Sublitoraler Schlickgrund der Nordsee mit Amphiura filiformis-Gemeinschaft, dominiert von Callianassa/Nephrops/Upogebia02.02.11.02.01.02 Sublitoraler Schlickgrund der Nordsee mit Amphiura filiformis-Gemeinschaft, dominiert von Islandmuscheln (Arctica islandica)"
02.02.11.02.01.03.,Sublitoraler Schlickgrund der Nordsee mit Amphiura filiformis-Gemeinschaft aber ohne Dominanz von spezifischen endobenthischen Taxa
02.02.11.02.02.,Sublitoraler Schlickgrund der Nordsee mit Nucula nitidosa-Gemeinschaft - nur offene Nordsee
02.02.11.02.02.01.,"Sublitoraler Schlickgrund der Nordsee mit Nucula nitidosa-Gemeinschaft, dominiert von Abra alba"
02.02.11.02.02.02.,"Sublitoraler Schlickgrund der Nordsee mit Nucula nitidosa-Gemeinschaft, dominiert von Chamelea gallina"
02.02.11.02.02.03.,"Sublitoraler Schlickgrund der Nordsee mit Nucula nitidosa-Gemeinschaft, dominiert von Hufeisenwürmern (Phoronis spp.)"
02.02.11.02.02.04.,"Sublitoraler Schlickgrund der Nordsee mit Nucula nitidosa-Gemeinschaft, dominiert von Islandmuscheln (Arctica islandica)"
02.02.11.02.02.05.,"Sublitoraler Schlickgrund der Nordsee mit Nucula nitidosa-Gemeinschaft, dominiert von Nucula nitidosa"
02.02.11.02.02.06.,Sublitoraler Schlickgrund der Nordsee mit Nucula nitidosa-Gemeinschaft aber ohne Dominanz von spezifischen endobenthischen Taxa
02.02.11.02.03.,"Sublitoraler Schlickgrund der Nordsee mit endobenthischen Krebsen (Crustacea), v.a Schlickkrebse (Corophiidae) - vorwiegend Ästuare"
